id;CONCURBs;state_code
1;BRASILIA;52
2;BRASILIA;53
3;GOIANIA;52
4;CUIABA;51
5;FLORIANOPOLIS;42
6;CURITIBA;41
7;SOROCABA;35
8;SAO PAULO;35
9;BAIXADA SANTISTA;35
10;CAMPINAS;35
11;RIO DE JANEIRO;33
12;VITORIA;32
13;BELO HORIZONTE;31
14;SALVADOR;29
15;ARACAJU;28
16;MACEIO;27
17;RECIFE;26
18;JOAO PESSOA;25
19;NATAL;24
20;FORTALEZA;23
21;TERESINA;21
22;TERESINA;22
23;SAO LUIS;21
24;BELEM;15
25;CAMPO GRANDE;50
26;MANAUS;13
27;SAO JOSE DOS CAMPOS;35
28;PORTO ALEGRE;43
29;CATALAO;52
30;INTERNACIONAL DE PEDRO JUAN CABALLERO;50
31;INTERNACIONAL DE CORUMBA;50
32;INTERNACIONAL DE URUGUAIANA;43
33;TRAMANDAI - OSORIO;43
34;TAQUARA - PAROBE - IGREJINHA;43
35;INTERNACIONAL DE SANT'ANA DO LIVRAMENTO;43
36;SANTA MARIA;43
37;SANTA CRUZ DO SUL;43
38;PELOTAS;43
39;LAJEADO;43
40;CAXIAS DO SUL;43
41;BENTO GONCALVES;43
42;BAGE;43
43;TUBARAO - LAGUNA;42
44;SAO BENTO DO SUL - RIO NEGRINHO;42
45;JOINVILLE;42
46;JARAGUA DO SUL;42
47;ITAJAI - BALNEARIO CAMBORIU;42
48;CRICIUMA;42
49;CHAPECO;42
50;BRUSQUE;42
51;BLUMENAU;42
52;UMUARAMA;41
53;TOLEDO;41
54;PONTA GROSSA;41
55;MARINGA;41
56;LONDRINA;41
57;INTERNACIONAL DE FOZ DO IGUACU;41
58;CASCAVEL;41
59;SAO ROQUE - MAIRINQUE;35
60;JI-PARANA;11
61;SAO JOSE DO RIO PRETO;35
62;SAO CARLOS;35
63;RIO CLARO;35
64;RIBEIRAO PRETO;35
65;PIRACICABA;35
66;OURINHOS;35
67;MOGI GUACU - MOGI MIRIM;35
68;MARILIA;35
69;LIMEIRA;35
70;JUNDIAI;35
71;ITU - SALTO;35
72;ITAPETININGA;35
73;GUARATINGUETA;35
74;FRANCA;31
75;FRANCA;35
76;CATANDUVA;35
77;CARAGUATATUBA - UBATUBA - SAO SEBASTIAO;35
78;BIRIGUI;35
79;BAURU;35
80;ATIBAIA;35
81;ARARAQUARA;35
82;AMERICANA - SANTA BARBARA D'OESTE;35
83;VOLTA REDONDA - BARRA MANSA;33
84;TRES RIOS - PARAIBA DO SUL;31
85;TRES RIOS - PARAIBA DO SUL;33
86;RESENDE;33
87;PETROPOLIS;33
88;MACAE - RIO DAS OSTRAS;33
89;CAMPOS DOS GOYTACAZES;33
90;CABO FRIO;33
91;ARARUAMA;33
92;UBA;31
93;SETE LAGOAS;31
94;SAO JOAO DEL REI;31
95;PASSOS;31
96;LAVRAS;31
97;JUIZ DE FORA;31
98;ITAJUBA;31
99;IPATINGA;31
100;CONSELHEIRO LAFAIETE;31
101;BARBACENA;31
102;PETROLINA;26
103;PETROLINA;29
104;PATOS;25
105;CAMPINA GRANDE;25
106;SOBRAL;23
107;JUAZEIRO DO NORTE;23
108;IMPERATRIZ;21
109;MACAPA;16
110;PORTO VELHO;11
111;RIO VERDE;52
112;FORMOSA;52
113;ANAPOLIS;52
114;SINOP;51
115;RONDONOPOLIS;51
116;TRES LAGOAS;50
117;DOURADOS;50
118;RIO GRANDE;43
119;PASSO FUNDO;43
120;LAGES;42
121;PARANAGUA;41
122;GUARAPUAVA;41
123;ARAPONGAS;41
124;APUCARANA;41
125;TATUI;35
126;SERTAOZINHO;35
127;JAU;35
128;ITATIBA;35
129;INDAIATUBA;35
130;BRAGANCA PAULISTA;35
131;BOTUCATU;35
132;BARRETOS;35
133;ARARAS;35
134;ARACATUBA;35
135;TERESOPOLIS;33
136;NOVA FRIBURGO;33
137;ANGRA DOS REIS;33
138;SAO MATEUS;32
139;LINHARES;32
140;GUARAPARI;32
141;COLATINA;32
142;CACHOEIRO DE ITAPEMIRIM;32
143;VARGINHA;31
144;UBERLANDIA;31
145;UBERABA;31
146;TEOFILO OTONI;31
147;POUSO ALEGRE;31
148;POCOS DE CALDAS;31
149;PATOS DE MINAS;31
150;MURIAE;31
151;MONTES CLAROS;31
152;ITABIRA;31
153;GOVERNADOR VALADARES;31
154;DIVINOPOLIS;31
155;ARAGUARI;31
156;VITORIA DA CONQUISTA;29
157;TEIXEIRA DE FREITAS;29
158;PORTO SEGURO;29
159;PAULO AFONSO;29
160;JEQUIE;29
161;ITABUNA;29
162;ILHEUS;29
163;FEIRA DE SANTANA;29
164;EUNAPOLIS;29
165;BARREIRAS;29
166;ALAGOINHAS;29
167;ARAPIRACA;27
168;VITORIA DE SANTO ANTAO;26
169;GARANHUNS;26
170;CARUARU;26
171;MOSSORO;24
172;ITAPIPOCA;23
173;PARNAIBA;22
174;CODO;21
175;CAXIAS;21
176;BACABAL;21
177;ACAILANDIA;21
178;PALMAS;17
179;ARAGUAINA;17
180;SANTAREM;15
181;PARAUAPEBAS;15
182;MARABA;15
183;CASTANHAL;15
184;CAMETA;15
185;BRAGANCA;15
186;ABAETETUBA;15
187;BOA VISTA;14
188;PARINTINS;13
189;RIO BRANCO;12
190;PRESIDENTE PRUDENTE;35
